"Insurance Name","Web Address (without http://)","States served (Bundesweit=all states)","Email address or contact form link","Address","Phone Number"
"BARMER GEK","www.barmer-gek.de","bundesweit","service@barmer-gek.de","Postfach: 11 07 04, 10837 Berlin","0800 45 40 150"
"Bertelsmann BKK","www.bertelsmann-bkk.de","bundesweit","info@bertelsmann-bkk.de","Carl-Miele-Straße 214 
33311 Gütersloh ","05241 80-74000"
"BIG direkt gesund","www.big-direkt.de","bundesweit","info@big-direkt.de","Rheinische Straße 1 
44137 Dortmund","0231.5557-0"
"BKK 24","www.bkk24.de","bundesweit","https://www.bkk24.de/typo3/index.php?id=62","Sülbecker Brand 1 
31683 Obernkirchen","05724 971-0"
"BKK A.T.U","www.bkk-atu.de","bundesweit","info@bkk-atu.de","Münchner Weg 5 
85232 Bergkirchen","0800 6648808"
"BKK Achenbach Buschhütten","www.bkk-achenbach.de","Nordrhein-Westfalen","service@bkk-achenbach.de","Siegener Str. 152 
57223 Kreuztal ","02732 767-0 "
"BKK advita","www.advita-bkk.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Thüringen","info@bkk-advita.de","Mainzer Straße 5 
55232 Alzey ","06731 9474-404"
"BKK Aesculap","www.bkkaesculap.de","betriebsbezogen (nur für Mitarbeiter wählbar)","http://www.bkk-aesculap.de/bkk-aesculap/kontakt/kontaktformular/","Jetterstr. 13/1
78532 Tuttlingen","07461 95-1666"
"BKK Akzo Nobel -Bayern-","www.bkk-akzo.de","Bayern","info@bkk-akzo.de","Glanzstoffstraße
63785 Obernburg","06022/81-2088"
"BKK B. Braun Melsungen AG","www.bkk-bbraun.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-bbraun.de","Grüne Straße 1
34212 Melsungen","05661 3071"
"BKK Basell","www.bkk-basell.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-basell.de","Brühler Str. 60
50389 Wesseling","49 2236 72-3367"
"BKK Beiersdorf AG","www.bkk-beiersdorf.de","betriebsbezogen (nur für Mitarbeiter wählbar)","infoline(at)bkk-beiersdorf.de","Unnastraße 20 
20253 Hamburg","040 - 4909-5930"
"BKK BJB","www.bkk-nordwest.de/mitgliedschaft/detail.php?bbnr=41690170","betriebsbezogen (nur für Mitarbeiter wählbar)","jutta.schulte@bkk-bjb.de","Werler Str. 1
59755 Arnsberg","02932/982207"
"BKK BPW Bergische Achsen KG Wiehl","www.bkk-bpw.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info (at) bkk-bpw.de","Ohler Berg 1 
51674 Wiehl","02262 78-14 41"
"BKK Braun-Gillette","www.bkk-braun-gillette.de","bundesweit","info@bkkbraun-gillette.de","Westerbachstraße_23 a
61476 Kronberg im Taunus","01803 9994444"
"BKK DEMAG KRAUSS-MAFFEI","www.bkk-dkm.de","Baden-Württemberg, Bayern, Berlin, Hamburg, Hessen, Niedersachen, Nordrhein- Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Thüringen","info@bkk-dkm.de","Friedrich-Wilhelm-Str. 82 - 84
47051 Duisburg","(0 203) 668 990"
"BKK der G. M. PFAFF AG","www.bkk-pfaff.de","Bayern, Rheinland-Pfalz","info@bkk-pfaff.de","Pirmasenser Str. 132
67655 Kaiserslautern","0631 31876-0"
"BKK der MTU Friedrichshafen GmbH","www.bkk-mtu.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-mtu.de ","Hochstraße 40
88045 Friedrichshafen","49 (0)7541 / 90 71 00"
"BKK der SIEMAG","www.bkk-siemag.de","Baden-Württemberg, Bayern, Brandenburg, Hamburg, Hessen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen","info@siemagbkk.de","Hillnhütter Str. 89
57271 Hilchenbach","(0 27 33) 29 - 29 29"
"BKK der Thüringer Energieversorgung","www.bkk-thev.de","Sachsen, Thüringen","info@bkk-thev.de","Stotternheimer Straße 9 a
99086 Erfurt","49 361 652 1700"
"BKK Deutsche Bank AG","www.bkk-deutsche-bank.de","betriebsbezogen (nur für Mitarbeiter wählbar)","bkk.info@db.com","Königsallee 45/47
40212 Düsseldorf "," 02 11 / 90 65 - 0"
"BKK Diakonie","www.bkk-diakonie.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein","info@bkk-diakonie.de","Königsweg 8
33617 Bielefeld","0521.144-3637"
"BKK ESSANELLE","www.bkk-essanelle.de","bundesweit","info@bkk-essanelle.de","40252 Düsseldorf","0800 2556655"
"BKK EUREGIO","www.bkk-euregio.de","Hamburg, Nordrhein-Westfalen","info@bkk-euregio.de","Boos-Fremery-Str. 62
52525 Heinsberg","02452/153501"
"BKK EWE","www.ewe-bkk.de","betriebsbezogen (nur für Mitarbeiter wählbar) Seite 2 / 7","info@bkk-ewe.de","Staulinie 16-17
26122 Oldenburg","49 441 803 5101"
"BKK exklusiv","www.bkkexklusiv.de","Bremen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Sachsen- Anhalt, Schleswig-Holstein","info(at)bkkexklusiv.de","Zum Blauen See 7
31275 Lehrte","49 (05132) 5001-0"
"BKK Faber-Castell & Partner","www.bkk-faber-castell.de","Bayern","regen@bkk-faber-castell.de","Bahnhofstraße 45
94209 Regen","09921 9602-0"
"BKK firmus","www.bkk-firmus.de","bundesweit","info@bkk-firmus.de","Gottlieb-Daimler-Str. 11
28237 Bremen","0421 64343 oder 0541 331410"
"BKK Freudenberg","www.bkk-freudenberg.de","Baden-Württemberg, Bayern, Berlin, Hessen, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen"," info@bkk-freudenberg.de","Höhnerweg 2 - 4
69469 Weinheim","49 6201 80-3620"
"BKK G+V","www.gv-bkk.de","Baden-Württemberg","info(at)gv-bkk.de","Stuttgarter Straße 19
72555 Metzingen","(0 71 41) 299 59 0"
"BKK Gildemeister Seidensticker","www.bkkgilsei.de","bundesweit","info@bkkgs.de","Winterstraße 49
33649 Bielefeld","0521 5228-0"
"BKK GRILLO-WERKE AG","www.bkk-grillo.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-grillo.de","Weseler Straße 1 - 47169 Duisburg","02 03 / 555 73 13"
"BKK Groz-Beckert","www.bkk-gb.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-gb.de","Parkweg 2 
72458 Albstadt","07431/10-2424 "
"BKK Heimbach","www.bkk-heimbach.de","betriebsbezogen (nur für Mitarbeiter wählbar)","Ralf.Heidbuechel@bkk-heimbach.de","An Gut Nazareth 73 
52353 Düren","02421/802394 "
"BKK HENSCHEL Plus","www.bkkhenschelplus.de","Bayern, Hessen, Niedersachen","info (at) bkkhenschelplus.de","Josef-Fischer-Str. 10
34127 Kassel","0561  801-6158"
"BKK Herford Minden Ravensberg","www.bkk-hmr.de","Baden-Württemberg, Bayern, Brandenburg, Hessen, Niedersachen, Nordrhein- Westfalen, Sachsen, Sachsen- Anhalt, Schleswig-Holstein","info@bkk-hmr.de","Am Kleinbahnhof 5
32051 Herford","05221 1026-0"
"BKK Herkules","www.bkk-herkules.de","Bayern, Hessen, Niedersachen","info@bkk-herkules.de","Fünffensterstr. 5 
34117 Kassel","0561/20855-0 "
"BKK IHV","www.bkk-ihv.de","bundesweit","info@bkk-ihv.de","Äppelallee 27, 65203 Wiesbaden","0611 1 86 86 - 0"
"BKK KARL MAYER","www.bkk-mayer.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-mayer.de","Industriestraße 3
63179 Obertshausen","06104 402 1414"
"BKK Kassana","www.bkk-kassana.de","bundesweit","info@bkk-kassana.de","Karolinenplatz 5
80333 München","0800 70 800 1000"
"BKK KBA","www.bkk-kba.de/","betriebsbezogen (nur für Mitarbeiter wählbar)","http://www.bkk-kba.de/kontakt/kontakt.php","Friedrich-Koenig-Str. 5
97080 Würzburg"," 0931/909-4338"
"BKK KEVAG KOBLENZ","www.bkk.de/tns/service/kontakt/betriebskrankenkassen/show-insurant-details/51980490","betriebsbezogen (nur für Mitarbeiter wählbar)","NONE","Schützenstraße 80-82

56068 Koblenz","0261 392-1314"
"BKK Krones","www.bkk-krones.de","betriebsbezogen (nur für Mitarbeiter wählbar)","bkk.info@krones.de","Bayerwaldstraße 2L
93073 Neutraubling
Deutschland","49 (0) 9401 70-3525"
"BKK Linde","www.bkk-linde.de","bundesweit","https://www.bkk-linde.de/kontakt.html","Abraham-Lincoln-Str. 18
65189 Wiesbaden","0611 73666"
"BKK MAHLE","www.bkk-mahle.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-mahle.de","Pragstraße 26-46 
70376 Stuttgart ","0711 / 501 - 12224 "
"BKK MEDICUS","www.bkk-medicus.de","Baden-Württemberg, Bayern, Berlin, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen, Sachsen-Anhalt Seite 3 / 7","info@bkk-medicus.de","Ledenweg 2
01445 Radebeul","(0351) 6 52 77 0"
"BKK Melitta Plus","www.bkk-melitta.de","Baden-Württemberg, Niedersachen, Nordrhein- Westfalen","info(at)bkk-melitta.de","Marienstr. 122
32425 Minden","05 71 - 97 59 0"
"BKK MEM","NONE","Thüringen","NONE","Freiligrathstraße 1
04610 Meuselwitz","03448 - 702220"
"BKK MERCK","www.bkk-merck.de","betriebsbezogen (nur für Mitarbeiter wählbar)","bkk@merck.de","Frankfurter Str. 133
64293 Darmstadt","06151 / 72 2256"
"BKK Miele","www.bkk-miele.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-miele.de","Carl-Miele-Straße 29
D-33332 Gütersloh","0 52 41 / 89-2189"
"BKK MOBIL OIL","www.bkk-mobil-oil.de","Bayern, Bremen, Hamburg, Hessen, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Schleswig-Holstein, Thüringen","info@bkk-mobil-oil.de","Burggrafstraße 1
29221 Celle","0800 255 0800"
"BKK Pfalz","www.bkkpfalz.de","bundesweit","info@bkkpfalz.de","Lichtenbergerstraße 16
67059 Ludwigshafen","0800 / 133 33 00"
"BKK PHOENIX","www.bkk-phoenix.de","Baden-Württemberg, Bayern, Berlin, Hamburg, Hessen, Niedersachen, Nordrhein- Westfalen, Thüringen","info@bkk-phoenix.de","Harburger Ring 10
21073 Hamburg","0 40 30 387-0"
"BKK PricewaterhouseCoopers","www.bkk-pwc.de","betriebsbezogen (nur für Mitarbeiter wählbar)","https://www.bkk-pwc.de/kontakt","Rotenburger Str. 15 
34212 Melsungen","05661 7302-0"
"BKK Publik - Partner der BKK Salzgitter","www.bkk-publik.de","Hamburg, Niedersachen, Nordrhein-Westfalen","service@bkk-publik.de","Thiestr. 15
38226 Salzgitter","05341/405-600"
"BKK Rieker.Ricosta.Weisser","www.bkk-rrw.de","betriebsbezogen (nur für Mitarbeiter wählbar)","website (at) bkk-rrw.de","Stockacher Str. 4-6
78532 Tuttlingen","07461 96646-40"
"BKK RWE","www.bkkrwe.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkkrwe.de","Welfenallee 32
29225 Celle"," 0 51 41 / 94 66 - 0"
"BKK Salzgitter","www.bkk-salzgitter.de","betriebsbezogen (nur für Mitarbeiter wählbar)","service@bkk-salzgitter.de","Thiestr. 15
38226 Salzgitter","05341/405-700"
"BKK Scheufelen","www.bkk-scheufelen.de","Baden-Württemberg","info@bkk-scheufelen.de","Schöllkopfstraße 120
73230 Kirchheim/Teck","0800-2552965"
"BKK Schleswig-Holstein","www.bkk-sh.de","Baden-Württemberg, Niedersachen, Schleswig-Holstein","info@bkk-sh.de","Stadtstr. 10
25348 Glückstadt","07425 94003 0"
"BKK Schwarzwald-Baar-Heuberg","www.bkk-sbh.de","Baden-Württemberg","info@bkk-sbh(dot)de","Löhrstr. 45
78647 Trossingen","07425 94003 0"
"BKK Schwesternschaft vom BRK","www.bkk-schwesternschaft.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-atu.de","Rotkreuzplatz 8
80634 München","08131 6133 - 0 oder 0800 6648808"
"BKK STADT AUGSBURG","www.bkk-stadt-augsburg.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-stadt-augsburg.de","City-Galerie-Bürohaus
Willy-Brandt-Platz 1
86153 Augsburg","(0821) 324-3201"
"BKK Technoform","www.bkk-technoform.de","Baden-Württemberg, Bayern, Niedersachen, Rheinland-Pfalz"," kontakt@bkk-technoform.de","Weender Landstr. 94-108
37075 Göttingen","(0) 551/ 3083391"
"BKK Textilgruppe Hof","www.bkk-textilgruppe-hof.de","Bayern","info@BKK-Textilgruppe-Hof.de","Fabrikzeile 21
95028 Hof","0 92 81 / 4 95 16"
"BKK VDN","www.bkk-vdn.de","Hamburg, Nordrhein-Westfalen, Sachsen Seite 4 / 7","info@bkk-vdn.de","Rosenweg 15
58239 Schwerte","02304  9826-0"
"BKK VerbundPlus","www.bkk-verbundplus.de","Baden-Württemberg, Bayern, Berlin, Hamburg, Hessen, Niedersachen, Nordrhein- Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein","info@bkk-verbundplus.de","Bismarckring 64
88400 Biberach","(07351) 18 24 - 0"
"BKK Verkehrsbau Union (VBU)","www.meine-krankenkasse.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen","info@bkk-vbu.de","Lindenstraße 67
10969 Berlin","0800 165 66 16"
"BKK VICTORIA - D.A.S.","www.bkk-victoria-das.de","bundesweit","info@bkk-victoria-das.de","Fischerstraße 8
40477 Düsseldorf","0211 477-6171"
"BKK VITAL","www.bkk-vital.de","Baden-Württemberg, Nordrhein- Westfalen, Rheinland-Pfalz","info@bkk-vital.de "," Giulinistraße 2
 67065 Ludwigshafen","0621/57 09 550"
"BKK vor Ort","www.bkkvorort.de","bundesweit","service@bkkvorort.de","Universitätsstraße 43
44789 Bochum","0800 222 12 11"
"BKK Voralb HELLER*LEUZE*TRAUB","www.bkk-voralb.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-voralb.de","Neuffener Str. 54
72622 Nürtingen"," (07022) 93246-0"
"BKK Werra-Meissner","www.bkk-werra-meissner.de","Bayern, Hessen","info@bkk-wm.de","Verwaltung
Straßburger Str.5
37269 Eschwege
Geschäftsstelle
Sudetenlandstr. 2a
37269 Eschwege","05651 7451-0"
"BKK Wieland-Werke","www.bkk-wieland.de","betriebsbezogen (nur für Mitarbeiter wählbar)","zentrale@wieland-bkk.de","Graf-Arco Straße 36
89079 Ulm","0731 / 9 44 23 82"
"BKK Wirtschaft & Finanzen","www.bkk-wf.de/","Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Saarland, Sachsen","info@bkk-wf.de","Bahnhofstraße 19
34212 Melsungen","05661/73 74 0"
"BKK Würth","www.bkk-wuerth.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@bkk-wuerth.de ","Gartenstr. 11 
74653 Künzelsau ","07940 / 91 90 - 0"
"BKK ZF & Partner","www.bkk-zf-partner.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Hamburg, Niedersachen, Nordrhein- Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen- Anhalt, Thüringen","koblenz@bkk-zf-partner.de","Am Wöllershof 12
56068 Koblenz","(0261) 13387-0"
"BKK_DürkoppAdler","www.bkk-duerkopp-adler.de","Nordrhein-Westfalen","info@bkk-da.de","Potsdamer Str. 190
33719 Bielefeld","0521/26077-0"
"BMW BKK","www.bkk-bmw.de","betriebsbezogen (nur für Mitarbeiter wählbar)","Betriebs.Krankenkasse@bmw.de","Mengkofener Str. 6
84130 Dingolfing","08731 76-29900"
"Bosch BKK","www.bosch-bkk.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Thüringen","info@Bosch-BKK.de","Kruppstraße 19
70469 Stuttgart","0711 811-31002"
"Brandenburgische BKK","www.brandenburgische-bkk.de","Brandenburg","service@brandenburgische-bkk.de","Werkstraße 10
15890 Eisenhüttenstadt","03364 4013 – 0"
"Continentale Betriebskrankenkasse","www.continentale-bkk.de","bundesweit","info@continentale-bkk.de","Röntgenstraße 24-26
22335 Hamburg","0800 6262626"
"Daimler BKK","www.daimler-betriebskrankenkasse.com","betriebsbezogen (nur für Mitarbeiter wählbar)","https://www.daimler-betriebskrankenkasse.com/E-Mail/","Daimler BKK
28178 Bremen","https://www.daimler-betriebskrankenkasse.com/Rueckrufservice/"
"DAK-Gesundheit","www.dak.de","bundesweit","http://www.dak.de/dak/formulare/Mitteilung-1074442.html","Nagelsweg 27 - 31
20097 Hamburg","040 23960"
"Debeka BKK","www.debeka-bkk.de","bundesweit","kundenservice@debeka.de","Ferdinand-Sauerbruch-Straße 18 
56058 Koblenz ","(02 61) 4 98 - 46 64 "
"Deutsche BKK","www.deutschebkk.de","bundesweit","info@deutschebkk.de","Willy-Brandt-Platz 8, 38440 Wolfsburg","(018 02) 18 08 65* "
"Deutsche Rentenversicherung Knappschaft-Bahn-See","www.kbs.de","bundesweit","zentrale@kbs.de","44781 Bochum","0234 304 - 0"
"DIE BERGISCHE KRANKENKASSE","www.die-bergische-kk.de","Hamburg, Nordrhein-Westfalen","info@die-bergische-kk.de","BKK Haus
Heresbachstr. 29
42719 Solingen","0212 2262-180"
"Die Schwenninger Betriebskrankenkasse","www.schwenninger-bkk.de","bundesweit","Info@Die-Schwenninger.de","Spittelstraße 50
78056 Villingen-Schwenningen","07720 97 27 - 0"
"E.ON BKK","www.eon.com/","betriebsbezogen (nur für Mitarbeiter wählbar)","info@eon-bkk.de","Brüsseler Platz 1
45131 Essen ","02 01-1 84-41 00"
"energie-BKK","www.energie-bkk.de","bundesweit","info@energie-bkk.de","Lange Laube 6, 30159 Hannover","0511 91110-0"
"Ernst & Young BKK","www.bkk-ey.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@ey-bkk.de","Rotenburger Str. 16
34212 Melsungen","0 56 61 70767 - 0"
"ESSO BKK","www.essobkk.de","bundesweit","info@essobkk.de","Osterbekstr. 90a
D-22083 Hamburg","040 / 589680 - 0"
"Hanseatische Krankenkasse","www.hek.de","bundesweit","kontakt@hek.de","Wandsbeker Zollstraße 86 - 90
22041 Hamburg","0800 0 213213 "
"HEAG BKK","www.heag-bkk.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@heag-bkk.de","Im Carree 1
64283 Darmstadt","(0 61 51) 7 09-33 33"
"Heimat Krankenkasse","www.heimat-krankenkasse.de","bundesweit","info@heimat-krankenkasse.de","Herforderstraße 23, 33602 Bielefeld","0521 923950"
"hkk Erste Gesundheit","www.hkk.de","bundesweit","info@hkk.de","Martinistraße 26 28195 Bremen","0421 3655-0 sowie 0800 2 555444"
"HypoVereinsbank BKK","www.hvb-bkk.de","bundesweit","info@hvb-bkk.de","Dr. Gerhard Rachor, Arnulfstraße 27, 80335 München","089/ 54 59 15 - 0"
"IKK Brandenburg und Berlin","www.ikkbb.de","bundesweit","https://www.ikkbb.de/ikkbb-kontakt.html","Ziolkowskistr. 6
14480 Potsdam","(03 31) 64 63 0"
"IKK classic","www.ikk-classic.de","bundesweit","info@ikk-classicde","Tannenstraße 4 b 
01099 Dresden","0800 455 1111"
"IKK gesund plus","www.ikk-gesundplus.de","bundesweit","info@ikk-gesundplus.de","Umfassungsstraße 85
39124 Magdeburg","0391 2806-0"
"IKK Nord","www.ikk-nord.de","Bremen, Mecklenburg- Vorpommern, Schleswig-Holstein","mail@ikk-nord.de","Lachswehrallee 1, 23558 Lübeck","0800 455 7378"
"IKK Südwest","www.ikk-suedwest.de","Hessen, Rheinland-Pfalz, Saarland","info@ikk-suedwest.de","Berliner Promenade 1
66111 Saarbrücken","06 81/9 36 96-0"
"KKH-Allianz","www.kkh-allianz.de","bundesweit","service@kkh.de","Karl-Wiechert-Allee 61
30625 Hannover","0511 2802-0"
"Knappschaft","www.knappschaft.de","bundesweit","zentrale@kbs.de","44781 Bochum","0234 304 - 0"
"mhplus Betriebskrankenkasse","www.mhplus.de","Baden-Württemberg, Bayern, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig- Holstein, Thüringen","info@mhplus.de","Franckstraße 8
71636 Ludwigsburg","0 71 41 / 97 90 - 0"
"Novitas BKK","www.novitas-bkk.de","bundesweit","info@novitas-bkk.de","Schifferstraße 92-100
47059 Duisburg","0800 6648233"
"pronova BKK","www.pronovabkk.de","bundesweit","service@pronovabkk.de","Brunckstraße 47
67063 Ludwigshafen","0621/53391-1000"
"R+V BKK","www.ruv-bkk.de","bundesweit","info@ruv-bkk.de","Postfach 420163, 65102 Wiesbaden","0611 99909-0"
"SAINT-GOBAIN BKK","www.saint-gobain-bkk.de","bundesweit",,,
"Salus BKK - Die Gutfühlversicherung","www.salus-bkk.de","Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg- Vorpommern, Niedersachen, Nordrhein-Westfalen, Rheinland- Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen","service@salus-bkk.de","Siemensstraße 5 a, 63263 Neu-Isenburg ","0800 22 13 222 "
"SECURVITA BKK","www.securvita.de","bundesweit","mail@securvita.de","Lübeckertordamm 1-3, 20099 Hamburg","040 / 3860800"
"Shell BKK/LIFE","www.shell-bkklife.de","bundesweit","info@shell-bkklife.de","Suhrenkamp 71-77, 22335 Hamburg","040 / 63 24 - 58 58"
"Siemens-Betriebskrankenkasse (SBK)","www.sbk.org","bundesweit","info@sbk.org","Heimeranstraße 31, 80339 München","0800 0 725 725 725 0"
"SKD BKK","www.skd-bkk.de","Baden-Württemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachen, Nordrhein- Westfalen, Saarland, Sachsen, Schleswig-Holstein","service@skd-bkk.de","Schultesstraße 19a, 97421 Schweinfurt","09721 9449 0"
"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau (SVLFG) ","www.svlfg.de","bundesweit","https://www.svlfg.de/10-kontakt/kon08/index.html","Weißensteinstraße 70 - 72
34131 Kassel","0561 9359-0 "
"Südzucker-BKK","www.suedzucker-bkk.de","betriebsbezogen (nur für Mitarbeiter wählbar)","info@suedzucker-bkk.de","Philosophenplatz 1, 68165 Mannheim","0621/328 58-0"
"Techniker Krankenkasse","www.tk-online.de","bundesweit","service@tk.de","Techniker Krankenkasse, Bramfelder Straße 140, 22305 Hamburg","0800 - 285 85 85"
"TUI BKK","www.tui-bkk.de/","bundesweit","service@tui-bkk.de","Karl-Wiechert-Allee 23, 30625 Hannover","05341/405-800"
"Vaillant BKK","www.vaillant-bkk.de","Baden-Württemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachen, Nordrhein- Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen- Anhalt, Schleswig-Holstein, Thüringen","info@vaillant-bkk.de","Bahnhofstr. 15, 42897 Remscheid","02191 9519-0"
"Vereinigte BKK","www.vereinigte-bkk.com","bundesweit","info@vereinigte-bkk.de","Vereinigte BKK, Postfach 61 01 15, 60343 Frankfurt","0800-732 00 00"
"WMF BKK","www.wmf-bkk.de","bundesweit","service@wmf-bkk.de","Eberhardstraße, 73312 Geislingen","07331 - 25 8264 "
